image_path,device_type,defect_type,text_prompt
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-40-18_jpg.rf.50c50c13f500153fe1f53d920a43fd06.jpg,laptop,display flickering,The image is blurry and has a flickering display.
data\Laptop-damage-detection-testing.v1i.coco\368522237_1996070060777759_2692032018839184843_n_jpg.rf.1c81f59c50e2a1df821574590d2636db.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\166498_1587452281_2_jpg.rf.1dcedd2513e8ae850201bef1089d567c.jpg,laptop,display flickering,The image shows a display with a flickering screen.
data\Laptop-damage-detection-testing.v1i.coco\7100014360_jpg.rf.2104405054ca93c9489541b5f968dd88.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387459687_851659923067403_3822777885389831890_n_jpg.rf.a6e89b59d1b4bb686fabfde07645adb1.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123144_top_jpg.rf.bd83a8a8f351ff864bcf3e40f65150f4.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\25_png_jpg.rf.cb69310089663368cdb470e9020b27f0.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.1475374228c36c41e2e88308ef3c1175.jpg,laptop,keyboard malfunction,The keyboard is black.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.7c779c40f1d7a269696401c8fd19fd84.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\7100014404_jpg.rf.d53408ddcc19505e42f0f71248ff9cfe.jpg,laptop,battery swelling,The image shows a black cell phone with a battery swelling.
data\Laptop-damage-detection-testing.v1i.coco\20240913123144_top_jpg.rf.b6bef6b3cbd41b3f1c7d9e8119e489ff.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-40-15_jpg.rf.bce9197f8102960e8cefd41a67432077.jpg,laptop,battery swelling,The image shows a close-up of a cell phone with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.f21ac5bd2708d45c9e02845ac6dc5576.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\385395849_1105680957079749_7655585593885085062_n_jpg.rf.2085a3100eda6fc945d13710f2a0751c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014457_jpg.rf.972284c8adb97e8fdd814458aa9fc2ee.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155342_jpg.rf.a7cf7191154e27f99d83ae2e3192168b.jpg,laptop,keyboard malfunction,The keyboard is black and has a broken key.
data\Laptop-damage-detection-testing.v1i.coco\20240913122802_top_jpg.rf.a3135836edbf5c94721d0a419e10f402.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910152821_bottom_jpg.rf.94f3f5fab3b887bca9214b69574a786f.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906133458_top_jpg.rf.d317dc2c00069f2eeddf6698e9ef7b2c.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\30_jpg.rf.ff3414949dccc4a9d703fb5d6b20f129.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160229-0-_jpg.rf.c7c24191d1ba2b970996d648c5a4907c.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
